Ukraine	49	32	45415596
Uganda	2	33	33398682
United States	39.76	-98.5	310232863
Uruguay	-33	-56	3477000
Uzbekistan	41.70754	63.84911	27865738
Vatican City	41.90225	12.4533	921
Venezuela	8	-66	27223228
Vietnam	16.16667	107.83333	89571130
Vanuatu	-16	167	221552
Samoa	-13.8031	-172.17831	192001
Kosovo	42.58333	21	1800000
Yemen	15.5	47.5	23495361
South Africa	-29	24	49000000
Zambia	-15	30	13460305
Zimbabwe	-19	29	11651858
